計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2025/01/25,給与,280000,三菱UFJ銀行,収入,給与,,0,1001
1,2025/01/05,家賃,-85000,三菱UFJ銀行,住宅,家賃・地代,,0,1002
1,2025/01/08,スーパーマーケット,-4520,楽天カード,食費,食料品,,0,1003
1,2025/01/10,コンビニ,-680,現金,食費,食料品,,0,1004
1,2025/01/12,ランチ,-980,現金,食費,外食,,0,1005
1,2025/01/15,電気代,-8500,三菱UFJ銀行,水道・光熱費,電気代,,0,1006
1,2025/01/15,ガス代,-4200,三菱UFJ銀行,水道・光熱費,ガス代,,0,1007
1,2025/01/15,水道代,-3100,三菱UFJ銀行,水道・光熱費,水道代,,0,1008
1,2025/01/18,携帯電話,-3980,楽天カード,通信費,携帯電話,,0,1009
1,2025/01/20,Netflix,-1490,楽天カード,趣味・娯楽,動画配信,,0,1010
1,2025/01/22,書籍,-1650,楽天カード,教養・教育,書籍,,0,1011
1,2025/01/25,飲み会,-4500,現金,交際費,飲み会,,0,1012
1,2025/01/28,病院,-2340,現金,健康・医療,病院,,0,1013
1,2025/01/30,洋服,-5980,楽天カード,衣服・美容,衣服,,0,1014
0,2025/01/31,貯金用口座へ,-50000,三菱UFJ銀行,その他,その他,,1,1015
1,2025/02/25,給与,280000,三菱UFJ銀行,収入,給与,,0,2001
1,2025/02/05,家賃,-85000,三菱UFJ銀行,住宅,家賃・地代,,0,2002
1,2025/02/07,スーパーマーケット,-5130,楽天カード,食費,食料品,,0,2003
1,2025/02/10,コンビニ,-450,現金,食費,食料品,,0,2004
1,2025/02/12,ラーメン屋,-1100,現金,食費,外食,,0,2005
1,2025/02/14,バレンタインギフト,-3500,楽天カード,交際費,プレゼント代,,0,2006
1,2025/02/15,電気代,-9200,三菱UFJ銀行,水道・光熱費,電気代,,0,2007
1,2025/02/15,ガス代,-4800,三菱UFJ銀行,水道・光熱費,ガス代,,0,2008
1,2025/02/15,水道代,-3100,三菱UFJ銀行,水道・光熱費,水道代,,0,2009
1,2025/02/18,携帯電話,-3980,楽天カード,通信費,携帯電話,,0,2010
1,2025/02/20,Spotify,-980,楽天カード,趣味・娯楽,音楽配信,,0,2011
1,2025/02/22,ジム,-8800,楽天カード,健康・医療,フィットネス,,0,2012
1,2025/02/28,交通費,-1200,Suica,交通費,電車,,0,2013
0,2025/02/28,貯金用口座へ,-50000,三菱UFJ銀行,その他,その他,,1,2014
1,2025/03/25,給与,280000,三菱UFJ銀行,収入,給与,,0,3001
1,2025/03/10,副業収入,35000,PayPay銀行,収入,副業,,0,3002
1,2025/03/05,家賃,-85000,三菱UFJ銀行,住宅,家賃・地代,,0,3003
1,2025/03/07,スーパーマーケット,-6200,楽天カード,食費,食料品,,0,3004
1,2025/03/09,カフェ,-550,現金,食費,外食,,0,3005
1,2025/03/11,居酒屋,-5200,現金,食費,外食,,0,3006
1,2025/03/15,電気代,-7800,三菱UFJ銀行,水道・光熱費,電気代,,0,3007
1,2025/03/15,ガス代,-3900,三菱UFJ銀行,水道・光熱費,ガス代,,0,3008
1,2025/03/15,水道代,-3100,三菱UFJ銀行,水道・光熱費,水道代,,0,3009
1,2025/03/18,携帯電話,-3980,楽天カード,通信費,携帯電話,,0,3010
1,2025/03/20,映画,-1800,楽天カード,趣味・娯楽,映画・音楽,,0,3011
1,2025/03/22,美容院,-4500,現金,衣服・美容,美容院,,0,3012
1,2025/03/25,友人の結婚祝い,-10000,現金,交際費,冠婚葬祭,,0,3013
1,2025/03/28,薬局,-1580,現金,健康・医療,薬,,0,3014
1,2025/03/30,交通費,-2400,Suica,交通費,電車,,0,3015
0,2025/03/31,貯金用口座へ,-50000,三菱UFJ銀行,その他,その他,,1,3016
